company,country,product,region,effective_datetime,price_local_per_litre,currency,unit,delta_local_per_litre,source_name,source_url,extraction_method
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2023-01-03T00:00:00Z,22590,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2023-01-03T00:00:00Z,21350,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2023-01-03T00:00:00Z,21770,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2023-01-03T00:00:00Z,22150,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2023-01-03T00:00:00Z,22590,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone1 price,Vietnam,2023-01-03T00:00:00Z,24130,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone2 price,Vietnam,2023-01-03T00:00:00Z,24610,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone1 price,Vietnam,2023-01-03T00:00:00Z,22760,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone2 price,Vietnam,2023-01-03T00:00:00Z,23210,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone1 price,Vietnam,2023-01-11T00:00:00Z,23010,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone2 price,Vietnam,2023-01-11T00:00:00Z,23470,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone1 price,Vietnam,2023-01-11T00:00:00Z,22150,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2023-01-11T00:00:00Z,22590,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2023-01-11T00:00:00Z,21350,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2023-01-11T00:00:00Z,21770,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2023-01-11T00:00:00Z,21630,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2023-01-11T00:00:00Z,22060,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone1 price,Vietnam,2023-01-11T00:00:00Z,23390,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone2 price,Vietnam,2023-01-11T00:00:00Z,23850,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone1 price,Vietnam,2023-01-11T00:00:00Z,21800,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone2 price,Vietnam,2023-01-11T00:00:00Z,22230,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone1 price,Vietnam,2023-01-30T00:00:00Z,24000,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone2 price,Vietnam,2023-01-30T00:00:00Z,24480,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone1 price,Vietnam,2023-01-30T00:00:00Z,23140,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2023-01-30T00:00:00Z,23600,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2023-01-30T00:00:00Z,22320,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2023-01-30T00:00:00Z,22760,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2023-01-30T00:00:00Z,22520,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2023-01-30T00:00:00Z,22970,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone1 price,Vietnam,2023-01-30T00:00:00Z,24280,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone2 price,Vietnam,2023-01-30T00:00:00Z,24760,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone1 price,Vietnam,2023-01-30T00:00:00Z,22570,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone2 price,Vietnam,2023-01-30T00:00:00Z,23020,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone1 price,Vietnam,2023-02-13T00:00:00Z,24670,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone2 price,Vietnam,2023-02-13T00:00:00Z,25160,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone1 price,Vietnam,2023-02-13T00:00:00Z,23760,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2023-02-13T00:00:00Z,24230,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2023-02-13T00:00:00Z,22860,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2023-02-13T00:00:00Z,23310,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2023-02-13T00:00:00Z,21560,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2023-02-13T00:00:00Z,21990,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone1 price,Vietnam,2023-02-13T00:00:00Z,22600,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 001s v zone2 price,Vietnam,2023-02-13T00:00:00Z,23050,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone1 price,Vietnam,2023-02-13T00:00:00Z,21590,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,dau hoa 2 k zone2 price,Vietnam,2023-02-13T00:00:00Z,22020,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone1 price,Vietnam,2023-02-21T00:00:00Z,24350,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 v zone2 price,Vietnam,2023-02-21T00:00:00Z,24830,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone1 price,Vietnam,2023-02-21T00:00:00Z,23440,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang ron 95 iii zone2 price,Vietnam,2023-02-21T00:00:00Z,23900,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone1 price,Vietnam,2023-02-21T00:00:00Z,22540,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,xang e5 ron 92 ii zone2 price,Vietnam,2023-02-21T00:00:00Z,22990,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone1 price,Vietnam,2023-02-21T00:00:00Z,20800,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
Petrolimex,Vietnam,do 0 05s ii zone2 price,Vietnam,2023-02-21T00:00:00Z,21210,VND,VND/litre,NA,Kaggle Weekly Fuel Prices in Vietnam,https://www.kaggle.com/datasets/suthcong/fuel-prices-in-vietnam,kaggle_input_dataset
