company,country,product,region,effective_datetime,price_local_per_litre,currency,unit,delta_local_per_litre,source_name,source_url,extraction_method
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-06-08T00:00:00Z,1.94,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-06-15T00:00:00Z,1.98,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-06-15T00:00:00Z,2.24,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-06-15T00:00:00Z,1.88,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-06-15T00:00:00Z,1.88,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-06-22T00:00:00Z,1.91,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-06-22T00:00:00Z,2.17,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-06-22T00:00:00Z,1.88,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-06-22T00:00:00Z,1.88,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-06-29T00:00:00Z,1.89,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-06-29T00:00:00Z,2.15,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel Peninsular Malaysia,Peninsular Malaysia,2017-06-29T00:00:00Z,1.84,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,Diesel East Malaysia,East Malaysia,2017-06-29T00:00:00Z,1.84,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON95 petrol,Malaysia,2017-07-06T00:00:00Z,1.93,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
Government of Malaysia,Malaysia,RON97 petrol,Malaysia,2017-07-06T00:00:00Z,2.19,MYR,MYR/litre,NA,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
