row_id,company,country,product,product_normalized,fuel_family,region,effective_datetime,year,month,day,price_local_per_litre,currency,unit,delta_local_per_litre,has_delta,is_e10,is_e5,is_diesel,price_band,source_name,source_url,extraction_method
68,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-08-02T00:00:00Z,2018,8,2,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
69,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-08-09T00:00:00Z,2018,8,9,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
70,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-08-16T00:00:00Z,2018,8,16,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
71,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-08-23T00:00:00Z,2018,8,23,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
72,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-08-30T00:00:00Z,2018,8,30,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
73,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-10-01T00:00:00Z,2018,10,1,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
74,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-11-01T00:00:00Z,2018,11,1,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
75,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-12-01T00:00:00Z,2018,12,1,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
76,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2019-01-01T00:00:00Z,2019,1,1,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
77,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2019-01-05T00:00:00Z,2019,1,5,2.04,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
78,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2019-01-12T00:00:00Z,2019,1,12,2.05,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
79,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2019-01-19T00:00:00Z,2019,1,19,2.17,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
80,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2019-01-26T00:00:00Z,2019,1,26,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
81,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2019-02-02T00:00:00Z,2019,2,2,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
